Folder,Area,Width,Height,Alpha,Ep,K,N
AT12,275,11,25,82.48042967,0.1,0.97668195,1
AT13,323,19,17,58.42071301,0.1,0.93542557,2
AT14,592,16,37,76.6214598,0.1,1.98791346,1
AT16,798,21,38,82.13393163,0.1,1.00524946,3
AT17,814,22,37,70.36579778,0.1,1.49145588,3
AT18,714,21,34,68.12599073,0.1,1.51130473,2
AT19,308,14,22,65.98920094,0.1,1.51828769,1
AT20,300,10,30,84.28940686,0.1,1.02472469,1
AT21,800,20,40,75.96375653,0.1,1.50832854,2
AT22,450,15,30,70.70995378,0.1,1.81579531,1
AT23,200,10,20,73.30075577,0.1,1.17513109,1
AT24,216,12,18,78.69006753,0.1,0.77555827,1
AT25,160,10,16,67.89055166,0.1,0.99824825,1
Files_-7480476174489404620,120,10,12,75.96375653,0.1,0.4757987,1
Files_6060015428186129553,120,10,12,73.73979529,0.1,0.52567523,1
Files_8325833207736715400,120,10,12,71.56505118,0.1,0.49061166,1
Files_-8467058129548023728,120,10,12,69.44395478,0.1,0.43499838,2
Files_-8857663759919634261,120,10,12,67.38013505,0.1,0.5189256,2
Files_-7896213277315370919,120,10,12,65.37643521,0.1,0.59208985,1
Files_-4087435748638082764,120,10,12,63.43494882,0.1,0.58733836,1
Files_-3098493852547777752,120,10,12,61.55707138,0.1,0.64321588,1
Files_6403375684341374717,120,10,12,59.74356284,0.1,0.65308056,1
Files_-8892226623156156612,130,10,13,77.00538321,0.1,0.50577927,1
Files_-5060122964185025366,130,10,13,74.93151184,0.1,0.50016139,1
Files_-4102002945562046178,130,10,13,72.89727103,0.1,0.60331352,1
Files_6338363811886024535,130,10,13,70.906508,0.1,0.59835335,1
Files_-644253946522112290,130,10,13,68.96248897,0.1,0.64672219,1
Files_-4870526029138143259,130,10,13,67.06789956,0.1,0.68347431,1
Files_8660289409044543260,130,10,13,65.22485943,0.1,0.72073236,1
Files_2081035017566215200,130,10,13,63.43494882,0.1,0.74056966,1
Files_-8998379199124538398,130,10,13,61.69924423,0.1,0.73888567,1
Files_-194485012182460328,140,10,14,77.90524292,0.1,0.57286971,1
Files_-67385369265262261,140,10,14,75.96375653,0.1,0.61409838,1
Files_-2227184834946327898,140,10,14,74.0546041,0.1,0.60025761,1
Files_1001809577328377130,140,10,14,72.18111109,0.1,0.67045054,1
Files_4668103281925079538,140,10,14,70.34617594,0.1,0.74045789,1
Files_4249160904335927173,140,10,14,68.55226367,0.1,0.77163742,1
Files_-1463705693590517607,140,10,14,66.80140949,0.1,0.80319377,1
Files_-6496499545687486367,140,10,14,65.09523119,0.1,0.82253164,1
Files_3325655056586059595,140,10,14,63.43494882,0.1,0.81213046,1
Files_3782930001146804032,150,10,15,78.69006753,0.1,0.57858234,1
Files_7615984773227821081,150,10,15,76.86597769,0.1,0.65463857,1
Files_-2181962882924900361,150,10,15,75.06858282,0.1,0.68040288,1
Files_-1067821092888512615,150,10,15,73.30075577,0.1,0.72832011,1
Files_-746520524504571422,150,10,15,71.56505118,0.1,0.79562409,1
Files_-5864457411590820767,150,10,15,69.86369657,0.1,0.83662496,1
Files_-7357874559402689011,150,10,15,68.19859051,0.1,0.8763264,1
Files_7003711570483218226,150,10,15,66.57130719,0.1,0.91433264,1
Files_97215225112169169,150,10,15,64.98310652,0.1,0.88970719,1
Files_6054275202579934074,160,10,16,79.38034472,0.1,0.63464982,1
Files_-6040223941503197851,160,10,16,77.66091272,0.1,0.70160318,1
Files_-5370463439942848816,160,10,16,75.96375653,0.1,0.73968161,1
Files_-1723524914273968426,160,10,16,74.29136217,0.1,0.80269293,1
Files_-1473680004463712781,160,10,16,72.64597536,0.1,0.87933977,1
Files_-5139158944688721643,160,10,16,71.02959219,0.1,0.90470987,1
Files_-6357045395001467924,160,10,16,69.44395478,0.1,0.9443583,1
Files_-1360171266971751273,160,10,16,67.89055166,0.1,0.99824825,1
Files_5935716330838230717,160,10,16,66.37062227,0.1,0.9775562,1
Files_-2675914308126775513,170,10,17,79.9920202,0.1,0.66942446,1
Files_1134937557078015151,170,10,17,78.366366,0.1,0.75292004,1
Files_-1549468983737117490,170,10,17,76.75948008,0.1,0.79865647,1
Files_7416797570745621609,170,10,17,75.17352003,0.1,0.86760768,1
Files_4428016640215565551,170,10,17,73.61045967,0.1,0.91460641,1
Files_1146448193362380862,170,10,17,72.07208024,0.1,0.95606877,1
Files_831649162043880841,170,10,17,70.55996517,0.1,1.00139443,1
Files_1232474964874610929,170,10,17,69.07549826,0.1,1.02794349,1
Files_-4961048469660696568,170,10,17,67.61986495,0.1,1.02622534,1
Files_-667502108549511210,180,10,18,80.53767779,0.1,0.70703518,1
Files_5096725039162298923,180,10,18,78.99645915,0.1,0.76863314,1
Files_-7139177531586540820,180,10,18,77.47119229,0.1,0.85372593,1
Files_2042627365281293543,180,10,18,75.96375653,0.1,0.93226729,1
Files_4086805589169072760,180,10,18,74.475889,0.1,0.95923031,1
Files_6058173390578918043,180,10,18,73.00917671,0.1,1.01661206,1
Files_-597807326202138053,180,10,18,71.56505118,0.1,1.07221772,1
Files_4176226316588598039,180,10,18,70.14478563,0.1,1.07534318,1
Files_-4343738115311461930,180,10,18,68.74949449,0.1,1.07351809,1
Files_-8501223638846367084,190,10,19,81.02737339,0.1,0.74251657,1
Files_7149179285519026218,190,10,19,79.56252465,0.1,0.86332312,1
Files_-4853897177596612782,190,10,19,78.11134196,0.1,0.90821077,1
Files_2612456392436788084,190,10,19,76.67546874,0.1,0.98977754,1
Files_-5762967820062706362,190,10,19,75.25643716,0.1,1.05704913,1
Files_7345252871841069586,190,10,19,73.85566122,0.1,1.06128449,1
Files_1282932997965287971,190,10,19,72.47443163,0.1,1.13652864,1
Files_-4661074425203006349,190,10,19,71.11391263,0.1,1.12626875,1
Files_1830267107198513147,190,10,19,69.77514057,0.1,1.09595921,1
Files_-7264317528849823363,200,10,20,81.46923439,0.1,0.79576307,1
Files_5535160376873679575,200,10,20,80.07375449,0.1,0.89630703,1
Files_9186460086760936845,200,10,20,78.69006753,0.1,0.95203093,1
Files_423636007136316623,200,10,20,77.31961651,0.1,1.03406431,1
Files_2899086869608624859,200,10,20,75.96375653,0.1,1.11590188,1
Files_-5915837862030711526,200,10,20,74.62374875,0.1,1.13099435,1
Files_4335708992725620198,200,10,20,73.30075577,0.1,1.1529758,1
Files_-8045490533996773488,200,10,20,71.99583839,0.1,1.18763705,1
Files_544811225469493425,200,10,20,70.70995378,0.1,1.16235007,1
Files_6207865316188610144,210,10,21,81.86989765,0.1,0.8312069,1
Files_-8407638025967343458,210,10,21,80.53767779,0.1,0.93166991,1
Files_-4223269859153541332,210,10,21,79.21570213,0.1,1.00282626,1
Files_-5824608195053736772,210,10,21,77.90524292,0.1,1.07667166,1
Files_7610771200896379638,210,10,21,76.60750225,0.1,1.11455082,1
Files_8743576818067117220,210,10,21,75.32360686,0.1,1.18402174,1
Files_-7857308017817604342,210,10,21,74.0546041,0.1,1.20704708,1
Files_-6776207972931833701,210,10,21,72.80145878,0.1,1.22327808,1
Files_-3939585860635602173,210,10,21,71.56505118,0.1,1.2157214,1
Files_-7116098991283570058,220,10,22,82.23483398,0.1,0.86768414,1
Files_3134687184300782822,220,10,22,80.9605172,0.1,0.96249434,1
Files_6036625248998950298,220,10,22,79.69515353,0.1,1.02444825,1
Files_-6158804898410874757,220,10,22,78.43986921,0.1,1.08878981,1
Files_-2675535351026520875,220,10,22,77.19573393,0.1,1.17045119,1
Files_-8134566398876784398,220,10,22,75.96375653,0.1,1.22599761,1
Files_-758643056203011003,220,10,22,74.7448813,0.1,1.24203305,1
Files_-8072985368333317998,220,10,22,73.53998519,0.1,1.25472556,1
Files_2685501058344150884,220,10,22,72.34987578,0.1,1.21107085,1
Files_6291306021697930203,230,10,23,82.56859203,0.1,0.86370242,1
Files_-4697808544306807544,230,10,23,81.34745821,0.1,0.990538,1
Files_-4504487383912857920,230,10,23,80.13419306,0.1,1.07672494,1
Files_-6220128201017008394,230,10,23,78.92979742,0.1,1.14389004,1
Files_-7251436534182476769,230,10,23,77.73522627,0.1,1.20344063,1
Files_5180832193314965220,230,10,23,76.55138495,0.1,1.25350255,1
Files_6570048013726041659,230,10,23,75.37912601,0.1,1.28038318,1
Files_-8940461336763228082,230,10,23,74.21924669,0.1,1.289672,1
Files_-2343948549404527440,230,10,23,73.07248694,0.1,1.23965754,1
Files_-8413518358455260922,240,10,24,82.87498365,0.1,0.92364134,1
Files_4339491856222871619,240,10,24,81.70285503,0.1,1.0114744,1
Files_2298970130324375910,240,10,24,80.53767779,0.1,1.09840857,1
Files_-9015263229121914726,240,10,24,79.38034472,0.1,1.17324949,1
Files_7435287736635428269,240,10,24,78.23171107,0.1,1.23141283,1
Files_360055445807699617,240,10,24,77.09259133,0.1,1.27868089,1
Files_5009099604155180663,240,10,24,75.96375653,0.1,1.30944041,1
Files_-5178681208568099349,240,10,24,74.84593195,0.1,1.30969175,1
Files_4501204516105531348,240,10,24,73.73979529,0.1,1.24839284,1
Files_-5133208486425915217,250,10,25,83.15722659,0.1,0.94070513,1
Files_8804186890109164115,250,10,25,82.03038961,0.1,1.03331588,1
Files_2038392863339124029,250,10,25,80.90972308,0.1,1.11237255,1
Files_4387272923847162329,250,10,25,79.79602628,0.1,1.19406023,1
Files_-1698479983422039043,250,10,25,78.69006753,0.1,1.26073685,1
Files_-7060723532608039414,250,10,25,77.59258147,0.1,1.30014455,1
Files_7238099300779533405,250,10,25,76.50426672,0.1,1.33015246,1
Files_-4083492378921711136,250,10,25,75.4257838,0.1,1.33531241,1
Files_1496749749640267026,250,10,25,74.35775354,0.1,1.28434286,1
Files_4372758722036997482,260,10,26,83.41805534,0.1,0.96407504,1
Files_2728212345339850314,260,10,26,82.33319574,0.1,1.05287883,1
Files_9217219854552706093,260,10,26,81.25383774,0.1,1.14203252,1
Files_3101568727541387363,260,10,26,80.18069936,0.1,1.22427905,1
Files_5915341355056005501,260,10,26,79.11447295,0.1,1.27399637,1
Files_2784277134857418782,260,10,26,78.05582281,0.1,1.32162963,1
